id,audio_path,cefr_level,text
212,audio\A1_212.mp3,A1,I took a train to a beautiful beach and had a picnic with my family
213,audio\A1_213.mp3,A1,John is a teacher and he likes helping students learn new things
214,audio\A1_214.mp3,A1,I learn new words in my English class at school
215,audio\A1_215.mp3,A1,Tommy enjoys eating juicy oranges because they are sweet and refreshing
216,audio\A1_216.mp3,A1,every morning she wakes up early to make breakfast for her family
217,audio\A1_217.mp3,A1,Alice likes painting colorful pictures in her free time
218,audio\A1_218.mp3,A1,I love to explore new places and try different foods when I travel
219,audio\A1_219.mp3,A1,helping customers find what they need
22,audio\A1_22.mp3,A1,I like to read books in the library at my school
220,audio\A1_220.mp3,A1,my school has many colorful walls and big windows
221,audio\A1_221.mp3,A1,I like to eat juicy apples for a tasty snack
222,audio\A1_222.mp3,A1,every morning I eat a delicious breakfast of toast and jam before going to school
223,audio\A1_223.mp3,A1,I like to draw colorful pictures of animals as my hobby
224,audio\A1_224.mp3,A1,Tom travels to Italy by train to see the beautiful ruins and eat delicious pizza
225,audio\A1_225.mp3,A1,my job is to help customers find what they need in the store
226,audio\A1_226.mp3,A1,about school the students draw pictures during art class at school
227,audio\A1_227.mp3,A1,I like to eat apples because they are sweet and juicy
228,audio\A1_228.mp3,A1,every morning I drink a cup of hot tea before I start work
229,audio\A1_229.mp3,A1,I like to read books and play games in my free time
23,audio\A1_23.mp3,A1,I like to eat apples because they are sweet and juicy
230,audio\A1_230.mp3,A1,I took the bus and visited a beautiful beach during my summer holiday
231,audio\A1_231.mp3,A1,Sarah helps customers at the store with a smile
232,audio\A1_232.mp3,A1,at school I learned how to write my name and count numbers
233,audio\A1_233.mp3,A1,eating apples and carrots is a healthy choice for a snack
234,audio\A1_234.mp3,A1,every morning Jane drinks a cup of tea before she starts her day
235,audio\A1_235.mp3,A1,I like to draw pictures of animals in my spare time
236,audio\A1_236.mp3,A1,I want to visit Paris to see the Eiffel Tower one day
237,audio\A1_237.mp3,A1,my coworker always helps me when I have a question at work
238,audio\A1_238.mp3,A1,at school students learn to read and write in English
239,audio\A1_239.mp3,A1,the boy likes to eat apples and bananas for his snack
24,audio\A1_24.mp3,A1,every morning I brush my teeth before going to school
240,audio\A1_240.mp3,A1,Samantha wakes up early every morning to feed her cat and start her day
241,audio\A1_241.mp3,A1,Emma enjoys painting pictures of colorful flowers in her free time
242,audio\A1_242.mp3,A1,I love taking the train to New cities because I can see beautiful landscapes through the window
243,audio\A1_243.mp3,A1,at work I always smile and greet my colleagues with kindness
244,audio\A1_244.mp3,A1,at school we learn about numbers and colors in the same classroom
245,audio\A1_245.mp3,A1,I like to eat apples everyday because they are sweet and crunchy
246,audio\A1_246.mp3,A1,every morning I brush my teeth and have breakfast before going to school
247,audio\A1_247.mp3,A1,I like to read books and play with my cat in my free time
248,audio\A1_248.mp3,A1,I like to visit new places and learn about different cultures when I travel
249,audio\A1_249.mp3,A1,my brother works at a bakery and sells delicious pastries to customers every day
25,audio\A1_25.mp3,A1,my favorite hobby is Dancing with my friends in the park
250,audio\A1_250.mp3,A1,at school we learn how to read and write in English
251,audio\A1_251.mp3,A1,I like to eat red apples
252,audio\A1_252.mp3,A1,every morning John Eats toast and drinks orange juice for breakfast
253,audio\A1_253.mp3,A1,sure I like to draw pictures of animals in my free time
254,audio\A1_254.mp3,A1,when I travel to a new place I like to try the local food and learn about the culture
255,audio\A1_255.mp3,A1,
256,audio\A1_256.mp3,A1,at school we learn how to write and read in English
257,audio\A1_257.mp3,A1,I like to eat apples because they are sweet and juicy
258,audio\A1_258.mp3,A1,every morning I eat breakfast with my family before school
259,audio\A1_259.mp3,A1,I enjoy painting colorful pictures of animals as my hobby
26,audio\A1_26.mp3,A1,during my vacation I visited a famous Palace and tried traditional foods in the new country
260,audio\A1_260.mp3,A1,I love to take the train to explore new cities when I go on vacation
261,audio\A1_261.mp3,A1,at work I assist customers with their questions and concerns
262,audio\A1_262.mp3,A1,at school students learn how to read and write
263,audio\A1_263.mp3,A1,I like to eat juicy apples in the morning for breakfast
264,audio\A1_264.mp3,A1,every morning I wake up have breakfast and go to school
265,audio\A1_265.mp3,A1,I like to draw pictures in my free time as a hobby
266,audio\A1_266.mp3,A1,I like to take the train when I go on a trip because it's comfortable and I can enjoy the scenic views along the way
267,audio\A1_267.mp3,A1,I work in a bakery baking delicious cakes
268,audio\A1_268.mp3,A1,everyday students learn new things at school
269,audio\A1_269.mp3,A1,Tommy likes to eat tasty apples and juicy oranges for a healthy snack
27,audio\A1_27.mp3,A1,at work John helps customers find the items they need
270,audio\A1_270.mp3,A1,every morning Emily feeds her cat before eating her breakfast
271,audio\A1_271.mp3,A1,I enjoy reading books in my spare time
272,audio\A1_272.mp3,A1,I love to take the train to see new places
273,audio\A1_273.mp3,A1,my colleague always smiles at me at work
274,audio\A1_274.mp3,A1,at school students learn how to count numbers and read simple words
275,audio\A1_275.mp3,A1,I like to eat delicious fruits like strawberries and bananas
276,audio\A1_276.mp3,A1,every morning she drinks a cup of tea with a slice of toast for breakfast
277,audio\A1_277.mp3,A1,one of my hobbies is painting colorful pictures of animals
278,audio\A1_278.mp3,A1,I want to visit France to see the Eiffel Tower
279,audio\A1_279.mp3,A1,my brother helps people by fixing cars at the shop
28,audio\A1_28.mp3,A1,my teacher showed me how to write my name in cursive at school today
280,audio\A1_280.mp3,A1,in school we learn how to write our names
281,audio\A1_281.mp3,A1,I like to eat apples and bananas for breakfast
282,audio\A1_282.mp3,A1,every morning I eat toast with Jam for breakfast before I go to work
283,audio\A1_283.mp3,A1,my friend likes to collect stamps from different countries as his Hobby
284,audio\A1_284.mp3,A1,I travel by plane to visit my family in another country
285,audio\A1_285.mp3,A1,I clean tables at a restaurant for work
286,audio\A1_286.mp3,A1,Sarah plays with her friends in the playground
287,audio\A1_287.mp3,A1,I like to eat delicious apples for a healthy snack
288,audio\A1_288.mp3,A1,every morning I brush my teeth before having breakfast
289,audio\A1_289.mp3,A1,about Hobbies I like singing and drawing with my friends at the park
29,audio\A1_29.mp3,A1,I like to eat apples and bananas for breakfast because they are healthy fruits
290,audio\A1_290.mp3,A1,I travel to a beautiful beach and enjoyed swimming in the Clear Blue Waters
291,audio\A1_291.mp3,A1,after work I like to relax and watch my favorite TV show
292,audio\A1_292.mp3,A1,at school we learn about numbers and how to count objects
293,audio\A1_293.mp3,A1,I like to eat apples because they are sweet and crunchy
294,audio\A1_294.mp3,A1,every morning Lucy drinks a glass of orange juice before heading to work
295,audio\A1_295.mp3,A1,I like to read books in my free time
296,audio\A1_296.mp3,A1,during my last vacation I visited a beautiful beach and enjoyed the warm sunlight
297,audio\A1_297.mp3,A1,I work in a restaurant as a cook
298,audio\A1_298.mp3,A1,at school I like to color pictures in art class
299,audio\A1_299.mp3,A1,I like to eat juicy apples for a snack
3,audio\A1_3.mp3,A1,my job is to help people find the right products in the store
30,audio\A1_30.mp3,A1,every morning I brush my teeth and eat breakfast before going to school
300,audio\A1_300.mp3,A1,every morning I drink a glass of orange juice before going to work
301,audio\A1_301.mp3,A1,he enjoys painting colorful pictures of nature on Sunny afternoons
302,audio\A1_302.mp3,A1,I love to ride on the double decker bus and see all the sights in the city
303,audio\A1_303.mp3,A1,I work in a big office with many computers
304,audio\A1_304.mp3,A1,at school Tommy learns how to read and write with his friends
305,audio\A1_305.mp3,A1,I like to eat apples because they are sweet and juicy
306,audio\A1_306.mp3,A1,every morning I eat toast with Jam for breakfast
307,audio\A1_307.mp3,A1,I like drawing pictures of animals in my free time
308,audio\A1_308.mp3,A1,I visit the park with my family by taking a bus
309,audio\A1_309.mp3,A1,my boss is very nice and I enjoy working with him
31,audio\A1_31.mp3,A1,I like painting pictures of happy animals as my favorite hobby
310,audio\A1_310.mp3,A1,in school we learn how to read and write words
311,audio\A1_311.mp3,A1,I like to eat pizza with lots of cheese and pepperoni
312,audio\A1_312.mp3,A1,every morning I eat toast with Jam for breakfast at 7:00
313,audio\A1_313.mp3,A1,I enjoy reading comic books in my free time
314,audio\A1_314.mp3,A1,sure here it is I like to visit new places and explore different cultures when I travel
315,audio\A1_315.mp3,A1,she is working in the office typing on the computer
316,audio\A1_316.mp3,A1,school is where children learn new things everyday
317,audio\A1_317.mp3,A1,I enjoy eating juicy apples for a healthy snack
318,audio\A1_318.mp3,A1,every morning I wake up early to have breakfast with my family before going to school
319,audio\A1_319.mp3,A1,I like to draw pictures of animals because it makes me happy
32,audio\A1_32.mp3,A1,I want to go to the beach and feel the warm sand between my toes
320,audio\A1_320.mp3,A1,while on vacation I visited the famous Eiffel Tower in Paris and took many pictures
321,audio\A1_321.mp3,A1,my mom works as a nurse at the hospital
322,audio\A1_322.mp3,A1,at school we learn to read and write every day
323,audio\A1_323.mp3,A1,I like to eat juicy apples everyday
324,audio\A1_324.mp3,A1,every morning Sarah wakes up early to make breakfast for her family
325,audio\A1_325.mp3,A1,I like to read books and watch movies in my free time to relax
326,audio\A1_326.mp3,A1,I travel to the beach by bus and enjoyed watching the sunset
327,audio\A1_327.mp3,A1,I like to help people at my job in the store
328,audio\A1_328.mp3,A1,in school I learn how to write my name
329,audio\A1_329.mp3,A1,I love eating juicy strawberries in the summer
33,audio\A1_33.mp3,A1,David works at a bakery where he bakes delicious bread every morning
330,audio\A1_330.mp3,A1,every morning I water my plants to help them grow big and strong
331,audio\A1_331.mp3,A1,Jessica likes to draw pictures of animals in her spare time
332,audio\A1_332.mp3,A1,I go to the beach every summer to relax and swim in the ocean
333,audio\A1_333.mp3,A1,I work in a bakery where I helped make delicious pastries everyday
334,audio\A1_334.mp3,A1,in school we learn about numbers and shapes in math class
335,audio\A1_335.mp3,A1,about food I like bananas because they are sweet and healthy
336,audio\A1_336.mp3,A1,every morning I walk my dog in the park before having breakfast
337,audio\A1_337.mp3,A1,I enjoy drawing pictures of my favorite animals in my free time
338,audio\A1_338.mp3,A1,I enjoy taking a bus to explore new cities
339,audio\A1_339.mp3,A1,at work Lisa helps customers find what they need
34,audio\A1_34.mp3,A1,at school we sing songs and play games during music class
340,audio\A1_340.mp3,A1,at school we learn how to read and write
341,audio\A1_341.mp3,A1,
342,audio\A1_342.mp3,A1,every morning I brush my teeth and eat breakfast before going to work
343,audio\A1_343.mp3,A1,I like listening to music and dancing in my free time
344,audio\A1_344.mp3,A1,when I travel I like to take photos of interesting landmarks
345,audio\A1_345.mp3,A1,my sister goes to work at a bakery every morning
346,audio\A1_346.mp3,A1,in school we learn to read and write new words every day
347,audio\A1_347.mp3,A1,I like to eat juicy apples during snack time
348,audio\A1_348.mp3,A1,every morning the sun rises and shines brightly in the sky
349,audio\A1_349.mp3,A1,I like playing soccer with my friends in the park
35,audio\A1_35.mp3,A1,I like to eat bananas because they are yellow and sweet
350,audio\A1_350.mp3,A1,I am going to the beach for my holiday next week
351,audio\A1_351.mp3,A1,Samantha loves her job because she helps people find the perfect outfit for special occasions
352,audio\A1_352.mp3,A1,my school bag is blue and has a picture of a cat on it
353,audio\A1_353.mp3,A1,I like pizza with lots of cheese on top
354,audio\A1_354.mp3,A1,every morning I brush my teeth and eat a delicious breakfast before going to school
355,audio\A1_355.mp3,A1,I like to draw pictures in my free time because it makes me happy
356,audio\A1_356.mp3,A1,when I travel I like to try new foods from different countries
357,audio\A1_357.mp3,A1,my friend cleans houses for a living
358,audio\A1_358.mp3,A1,in school we learn about animals and their habitats
359,audio\A1_359.mp3,A1,I like eating pizza because it is delicious and easy to eat with my hands
36,audio\A1_36.mp3,A1,every morning I eat breakfast with my family before going to school
360,audio\A1_360.mp3,A1,every morning my alarm clock wakes me up for a new day full of Adventures
361,audio\A1_361.mp3,A1,I like to draw colorful pictures in my free time
362,audio\A1_362.mp3,A1,I love to take the bus and watch the scenery go by when I travel to new places
363,audio\A1_363.mp3,A1,I like to help customers find the right products in the store
364,audio\A1_364.mp3,A1,the students enjoy playing games during their break time at school
365,audio\A1_365.mp3,A1,sure here you go I like to eat sandwiches with cheese and tomatoes for lunch
366,audio\A1_366.mp3,A1,I wake up early every morning to the sound of chirping birds outside my window
367,audio\A1_367.mp3,A1,
368,audio\A1_368.mp3,A1,I like to stay in a cozy bed and breakfast when I visit new places let me know if you would like another sentence or have any specific preferences
369,audio\A1_369.mp3,A1,
37,audio\A1_37.mp3,A1,sure my hobby is painting colorful pictures of animals in the park
370,audio\A1_370.mp3,A1,school starts early in the morning and I usually have my favorite snack for lunch
371,audio\A1_371.mp3,A1,about food I like bananas because they are sweet and easy to eat
372,audio\A1_372.mp3,A1,every morning I have breakfast with my family before going to work
373,audio\A1_373.mp3,A1,my favorite hobby is painting beautiful pictures of nature
374,audio\A1_374.mp3,A1,I like to explore new cities and try different foods when I travel
375,audio\A1_375.mp3,A1,Mark Works in a bakery where he helps make delicious cakes everyday
376,audio\A1_376.mp3,A1,in school we learn interesting things like counting and coloring
377,audio\A1_377.mp3,A1,I like to eat apples because they are sweet and delicious
378,audio\A1_378.mp3,A1,every morning I wake up early to make breakfast for my family
379,audio\A1_379.mp3,A1,I like playing soccer in the park with my friends on the weekends
38,audio\A1_38.mp3,A1,I took a train to the beach from my vacation last year
380,audio\A1_380.mp3,A1,I like to ride the bus and see all the buildings when I travel
381,audio\A1_381.mp3,A1,I work at a bakery making delicious pastries
382,audio\A1_382.mp3,A1,we learn new words in English class at school
383,audio\A1_383.mp3,A1,I like to eat bananas because they are sweet and healthy
384,audio\A1_384.mp3,A1,every morning I brush my teeth and eat breakfast before starting my day
385,audio\A1_385.mp3,A1,my friend likes to ride her bike in the park for fun
386,audio\A1_386.mp3,A1,the plane flies high in the sky when traveling to Faraway places
387,audio\A1_387.mp3,A1,my boss is kind and helps me learn new things at my job
388,audio\A1_388.mp3,A1,in school we learn how to count and write letters
389,audio\A1_389.mp3,A1,about food I like to eat apples with peanut butter for a tasty snack
39,audio\A1_39.mp3,A1,I work in a store selling clothes
390,audio\A1_390.mp3,A1,every morning I have breakfast with my family before walking to school
391,audio\A1_391.mp3,A1,my hobby is painting colorful pictures of animals and nature
392,audio\A1_392.mp3,A1,traditional Local Foods
393,audio\A1_393.mp3,A1,
394,audio\A1_394.mp3,A1,the teacher writes the lesson on the Blackboard for the students
395,audio\A1_395.mp3,A1,I like to eat sandwiches with ham and cheese for lunch
396,audio\A1_396.mp3,A1,every morning I eat breakfast before going to school
397,audio\A1_397.mp3,A1,I like to draw pictures of animals in my free time as my hobby
398,audio\A1_398.mp3,A1,castle and enjoyed seeing the historic architecture
399,audio\A1_399.mp3,A1,my dad works in a hospital and helps sick people feel better
4,audio\A1_4.mp3,A1,in school students learn how to read and write
40,audio\A1_40.mp3,A1,at school I learned how to count numbers and write my name
400,audio\A1_400.mp3,A1,Tommy goes to school every morning with his backpack filled with books and pencils
401,audio\A1_401.mp3,A1,I like to eat yummy fruits like juicy watermelon on hot summer days
402,audio\A1_402.mp3,A1,every morning I eat cereal with milk before going to school
403,audio\A1_403.mp3,A1,she loves to draw and paint colorful pictures in her free time
404,audio\A1_404.mp3,A1,I want to visit the beach and feel the warm sand under my feet
405,audio\A1_405.mp3,A1,my boss likes when we work together to finish tasks on time
406,audio\A1_406.mp3,A1,in school we learn how to read and write different words
407,audio\A1_407.mp3,A1,my mom makes yummy pasta with cheese and tomatoes for dinner
408,audio\A1_408.mp3,A1,every morning Peter brushes his teeth before eating breakfast
409,audio\A1_409.mp3,A1,when I have free time I enjoy reading books in my Cozy Corner
41,audio\A1_41.mp3,A1,I like to eat delicious apples for a snack everyday
410,audio\A1_410.mp3,A1,Sarah wants to visit Paris because she loves to see the Eiffel Tower
411,audio\A1_411.mp3,A1,
412,audio\A1_412.mp3,A1,in school children learn how to read and write in English
413,audio\A1_413.mp3,A1,I eat apples everyday because they are my favorite fruit
414,audio\A1_414.mp3,A1,I go to school everyday to learn new things and have fun with my friends
415,audio\A1_415.mp3,A1,one of my hobbies is painting beautiful pictures with bright colors on canvas
416,audio\A1_416.mp3,A1,traveling by train is a convenient way to explore different cities and enjoy beautiful scenery along the way
417,audio\A1_417.mp3,A1,my father Works in a restaurant and Cooks delicious food for customers
418,audio\A1_418.mp3,A1,at school we learn to read and write in English
419,audio\A1_419.mp3,A1,Maria likes to eat juicy watermelon on hot summer days
42,audio\A1_42.mp3,A1,everyday I eat breakfast with my family before going to work
420,audio\A1_420.mp3,A1,in the morning I brush my teeth and eat breakfast before going to school
421,audio\A1_421.mp3,A1,I like to paint pictures of colorful flowers as a hobby
422,audio\A1_422.mp3,A1,on my holiday I want to visit a big castle in the countryside
423,audio\A1_423.mp3,A1,John is a teacher and he helps students learn new things everyday at school
424,audio\A1_424.mp3,A1,in English class
425,audio\A1_425.mp3,A1,about food I like to eat sweet strawberries with creamy yogurt for breakfast
426,audio\A1_426.mp3,A1,every morning I make breakfast for my family before we all leave for work and school
427,audio\A1_427.mp3,A1,I like watching movies with my friends every weekend it's a fun hobby
428,audio\A1_428.mp3,A1,when you go on a trip don't forget your passport and money
429,audio\A1_429.mp3,A1,I work at a bakery and I sell delicious cakes
43,audio\A1_43.mp3,A1,one of my hobbies is collecting stamps from different countries
430,audio\A1_430.mp3,A1,learning in school
431,audio\A1_431.mp3,A1,about food I love eating crispy apples as a healthy snack in the afternoon
432,audio\A1_432.mp3,A1,every morning I drink a cup of tea with honey before starting my day
433,audio\A1_433.mp3,A1,I ride my bicycle and play with my cat for fun
434,audio\A1_434.mp3,A1,about travel I like to explore new places and try different types of food when I go on vacation
435,audio\A1_435.mp3,A1,at work I answer phone calls and help customers everyday
436,audio\A1_436.mp3,A1,Tom enjoys playing soccer during recess at school
437,audio\A1_437.mp3,A1,I enjoy eating my favorite sandwich with crunchy pickles
438,audio\A1_438.mp3,A1,every morning John eats cereal with milk for breakfast before he goes to work
439,audio\A1_439.mp3,A1,I like to play with my pet rabbit in the garden during the weekend
44,audio\A1_44.mp3,A1,when I go on vacation I like to explore new cities and try Local Foods
440,audio\A1_440.mp3,A1,during my vacation I visited a beautiful beach and enjoyed swimming in the Clear Blue Waters
441,audio\A1_441.mp3,A1,I clean the tables in the cafe every morning
442,audio\A1_442.mp3,A1,after school I like to play with my friends in the park
443,audio\A1_443.mp3,A1,I like to eat bananas with peanut butter for a tasty snack
444,audio\A1_444.mp3,A1,every morning Mary walks her dog in the park
445,audio\A1_445.mp3,A1,my hobby is painting pictures of colorful flowers in the park
446,audio\A1_446.mp3,A1,during my vacation I explored the city and took lots of photos
447,audio\A1_447.mp3,A1,my friend works in a hospital and helps sick people
448,audio\A1_448.mp3,A1,
449,audio\A1_449.mp3,A1,I like to eat apples and cheese for a simple and tasty snack
45,audio\A1_45.mp3,A1,I work at a restaurant serving delicious food to customers
450,audio\A1_450.mp3,A1,every morning I wake up early to walk my dog in the park before breakfast
